,student.id,year,score,solve_num
0,I100008,2020,9.348183420353232,1628.0
1,I100008,2021,8.580948906655827,3724.0
2,I100067,2020,10.12901486018136,579.0
3,I100067,2021,11.962929912848981,3165.0
4,I100067,2022,9.87114437286851,622.0
5,I100168,2020,8.871548039461265,2001.0
6,I100168,2021,6.8425069353913734,3853.0
7,I100268,2021,9.677638268277516,370.0
8,I100300,2020,9.834299045695936,366.0
9,I100355,2020,0.0,30.0
10,I100360,2021,11.559403922303709,362.0
11,I100360,2022,10.791020094425111,183.0
12,I100361,2021,13.727237675962566,590.0
13,I100361,2022,13.157490244598838,163.0
14,I100365,2020,8.561957541637344,181.0
15,I100496,2020,12.42032967032967,40.0
16,I100596,2020,5.352380952380952,40.0
17,I100596,2021,8.9,11.0
18,I100650,2020,10.385115687272442,395.0
19,I100651,2020,6.398655828362269,271.0
20,I100652,2021,10.398878645072978,1781.0
21,I100652,2022,10.306682268957042,1279.0
22,I100758,2020,3.5777777777777775,20.0
23,I100762,2020,9.476495726495727,59.0
24,I100827,2020,13.53914751701768,288.0
25,I100837,2020,10.841151509147348,318.0
26,I101283,2021,13.953216374269006,75.0
27,I101409,2020,4.207061790668348,281.0
28,I101409,2021,6.128077719382067,475.0
29,I101428,2020,5.316589301503094,163.0
30,I101428,2021,5.172190852625635,352.0
31,I101658,2020,13.102564102564102,82.0
32,I101743,2020,7.749335477991444,895.0
33,I101743,2021,8.534603378141494,724.0
34,I101744,2020,5.539009882323074,370.0
35,I101744,2021,5.992458922571641,805.0
36,I101786,2020,2.4738461538461536,117.0
37,I101791,2020,8.132321413055108,446.0
38,I101869,2020,10.358333333333334,50.0
39,I101947,2020,9.308513741598787,980.0
40,I101947,2021,8.8145844281018,2019.0
41,I101967,2020,6.789239524287867,487.0
42,I101967,2021,1.0,2.0
43,I101988,2020,11.04811753902663,450.0
44,I102099,2020,12.540100250626567,134.0
45,I102119,2020,3.9017857142857144,75.0
46,I102222,2021,2.166666666666667,9.0
47,I102222,2022,5.1875,41.0
48,I102363,2020,5.184873949579832,28.0
49,I102464,2021,6.306703979669012,614.0
50,I102520,2020,6.98597180807807,237.0
51,I102522,2021,3.3838763575605677,44.0
52,I102550,2021,6.313725490196078,28.0
53,I102609,2020,10.447871148459383,115.0
54,I102609,2021,13.451905201397587,547.0
