,id,academy_id,school_type,grade,status
261249,I380959,D12070,3,3,2
261250,I38096,D0838,3,3,1
261251,I380960,D12070,3,3,2
261252,I380961,D10935,3,3,1
261253,I380962,D12070,3,3,2
261254,I380963,D12070,3,3,2
261255,I380964,D10935,3,3,1
261266,I380974,D12296,3,3,1
261272,I38098,D1568,3,3,0
261273,I380980,D1638,3,3,2
261274,I380981,D1638,3,3,2
261275,I380982,D13406,3,3,0
261276,I380983,D13406,3,3,0
261277,I380984,D13406,3,3,0
261279,I380986,D13406,3,3,0
261282,I380989,D13406,3,3,0
261285,I380991,D13406,3,3,0
261294,I381,D0028,3,3,1
261295,I3810,D0251,3,3,2
261306,I381009,D8054,3,3,1
261320,I381021,D9999,3,3,2
261321,I381022,D9999,3,3,2
261322,I381023,D9999,3,3,2
261323,I381024,D9999,3,3,2
261324,I381025,D9999,3,3,2
261325,I381026,D9999,3,3,2
261326,I381027,D9999,3,3,2
261327,I381028,D9999,3,3,2
261328,I381029,D9999,3,3,2
261329,I38103,D1857,3,3,2
261330,I381030,D9999,3,3,2
261331,I381031,D9999,3,3,2
261332,I381032,D9999,3,3,2
261333,I381033,D9999,3,3,2
261334,I381034,D9999,3,3,2
261335,I381035,D9999,3,3,2
261351,I38105,D1649,3,3,2
261353,I381051,D5596,3,3,1
261366,I381063,D12569,3,3,1
261370,I381067,D3499,3,3,2
261375,I381071,D13318,3,3,2
261376,I381072,D13318,3,3,0
261406,I3811,D0251,3,3,2
261451,I38114,D1617,3,3,2
261473,I38116,D1951,3,3,1
261495,I38118,D1974,3,3,1
261506,I38119,D1974,3,3,1
261517,I3812,D0251,3,3,2
261518,I38120,D1974,3,3,1
261529,I38121,D1974,3,3,1
261540,I38122,D1974,3,3,1
261551,I38123,D1974,3,3,1
261562,I38124,D1974,3,3,1
261573,I38125,D1974,3,3,1
261578,I381254,D13334,3,3,0
261579,I381255,D13334,3,3,0
261580,I381256,D13334,3,3,0
261581,I381257,D13334,3,3,0
261582,I381258,D13334,3,3,0
261583,I381259,D13334,3,3,0
261584,I38126,D1974,3,3,1
261585,I381260,D13334,3,3,0
261586,I381261,D13334,3,3,0
261587,I381262,D13334,3,3,0
261588,I381263,D13334,3,3,0
261589,I381264,D13334,3,3,0
261590,I381265,D13334,3,3,0
261591,I381266,D13334,3,3,0
261592,I381267,D13334,3,3,0
261593,I381268,D13334,3,3,0
261594,I381269,D13334,3,3,0
261595,I38127,D1974,3,3,1
261596,I381270,D13334,3,3,0
261597,I381271,D13334,3,3,0
261598,I381272,D13334,3,3,0
261599,I381273,D13334,3,3,0
261600,I381274,D13334,3,3,0
261601,I381275,D13334,3,3,0
261602,I381276,D13334,3,3,0
261603,I381277,D13334,3,3,0
261604,I381278,D13334,3,3,0
261605,I381279,D13334,3,3,0
261606,I38128,D1571,3,3,1
261607,I381280,D13334,3,3,0
261608,I381281,D13334,3,3,0
261609,I381282,D13334,3,3,0
261610,I381283,D13334,3,3,0
261611,I381284,D13334,3,3,0
261612,I381285,D13334,3,3,0
261613,I381286,D13334,3,3,0
261614,I381287,D13334,3,3,0
261615,I381288,D13334,3,3,0
261616,I381289,D13334,3,3,0
261618,I381290,D13334,3,3,0
261619,I381291,D13334,3,3,0
261620,I381292,D13334,3,3,0
261621,I381293,D13334,3,3,0
